ID_nr,CompComf,Comp 1,Comp 2,Comp 3,Comp 4,Comp 5,Comp 6,Comp 7,Comp 8,Comp 9,Comp 10,Comp 11,Comp 12,Comp 13,Comp 14,Comp 15,Comp 16,Comp 17,Comp 18,Comp 19,Comp 20,Comp 21,Comp 22,Comp 23,Comp 24,Comp 25,Comp 26,Comp 27,Comp 28,Comp 29,Comp 30,Comp 31,Sex,Age,IsProgL,IsNotOS,IsNotBrowser,IsRAM,IsPDF,Kohort
101,8,1,1,1,3,2,2,5,1,5,4,2,3,1,4,5,2,2,1,2,3,4,4,4,1,1,1,2,3,3,1,3,Man,38,1,1,1,1,1,1
102,10,1,1,1,1,2,1,5,1,1,5,1,1,1,5,3,1,2,1,2,1,5,5,4,1,1,1,1,5,5,2,1,Man,32,1,1,1,1,1,1
103,8,1,2,2,1,5,2,4,2,3,4,3,2,3,3,5,4,4,4,3,4,4,4,3,3,2,3,2,4,3,3,2,Kvinna,23,0,1,1,0,0,1
104,8,1,2,1,3,1,2,4,1,3,4,4,2,1,4,5,4,4,5,2,4,3,3,5,3,1,3,2,3,3,2,2,Kvinna,22,1,1,1,0,1,1
105,5,2,4,1,1,4,2,4,4,4,4,3,2,2,3,4,3,4,3,2,4,4,3,3,2,1,1,2,3,3,2,4,Kvinna,20,1,1,1,0,1,1
106,6,2,4,1,2,4,3,2,5,5,3,4,3,5,4,5,5,5,5,2,5,4,2,3,5,2,4,1,3,3,2,4,Kvinna,21,1,1,1,0,1,1
107,7,1,2,3,2,1,2,4,1,1,4,2,2,2,2,4,1,4,4,2,1,4,4,4,2,1,1,1,3,3,1,3,Man,20,0,1,1,1,1,1
108,6,3,4,1,3,2,5,3,4,5,4,3,2,3,5,2,4,5,3,1,2,3,2,4,3,1,1,4,3,2,3,4,Kvinna,55,1,1,1,1,1,1
109,8,2,2,1,2,4,2,4,2,4,4,2,2,3,5,2,3,3,2,3,2,4,4,5,2,2,2,3,4,4,2,2,Man,24,1,1,1,1,1,1
110,8,2,4,2,3,4,2,4,3,4,2,3,4,2,4,4,3,4,1,3,4,4,4,4,4,2,2,2,3,3,4,2,Kvinna,23,1,1,1,1,1,1
111,6,3,4,1,4,3,4,2,4,4,4,4,4,4,4,5,4,5,4,2,4,2,2,3,4,3,3,3,2,3,2,3,Kvinna,20,1,1,1,0,0,1
112,8,1,3,1,2,1,2,4,2,1,4,1,2,1,3,2,2,4,2,2,3,4,3,4,2,2,2,2,4,4,3,2,Kvinna,42,1,1,1,1,1,1
113,9,1,3,1,1,1,1,5,1,2,5,1,1,1,4,4,2,4,2,3,1,4,4,1,1,1,2,1,5,3,1,1,Man,25,1,1,1,1,1,1
114,10,1,1,2,1,1,1,5,3,2,5,2,1,1,3,5,2,3,2,3,3,5,5,3,1,1,1,1,3,4,1,1,Man,26,1,1,1,0,1,1
115,7,1,4,1,1,3,4,4,1,4,3,3,2,2,4,4,3,5,2,1,2,4,3,5,2,1,5,1,3,4,4,1,Kvinna,20,1,1,1,1,1,1
