,time,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Item9,Item10,Item11,Item12,Item13,Item14,Item15,Item16,Item17,Item18,Item19,Item20,Item21,Item22,Item23,Item24,Item25,Item26,Item27,Item28,Item29,Item30,Item31,Item32,Item33,Item34,Item35,Item36,Item37,Item38,Item39,Item40,Item41,ControlItem,Sex,Age
0,2025/04/16 7:15:31 PM GMT+2,4,2,3,4,3,2,2,2,5,3,3,2,2,1,4,4,2,4,4,2,4,4,2,2,4,4,2,4,4,4,3,2,4,4,4,3,2,2,2,Tiktok,4,7,Kvinna,20
1,2025/04/16 7:20:59 PM GMT+2,4,2,5,2,3,3,2,5,5,4,3,4,1,1,1,2,2,3,3,4,4,5,2,3,2,4,4,4,4,5,4,1,2,4,5,1,1,2,3,"Gick ej att klicka i flera. Men snap, Instagram, TikTok",4,6,Kvinna,25
2,2025/04/16 7:37:53 PM GMT+2,5,4,4,4,5,3,2,5,4,5,5,5,4,5,5,4,2,3,5,2,2,4,2,4,2,3,4,2,5,4,5,4,3,5,5,2,4,1,2,Instagram;Youtube,2,6,Man,21
3,2025/04/16 8:04:03 PM GMT+2,4,4,5,1,2,4,4,5,1,3,4,5,5,3,4,5,1,3,3,4,4,5,2,4,2,5,3,3,4,4,2,4,5,5,4,4,4,3,5,Snapchat;Instagram;Tiktok;X;Facebook;Youtube,3,4,Man,21
4,2025/04/16 8:06:35 PM GMT+2,5,4,5,5,1,5,5,5,2,1,1,5,5,3,5,5,1,1,2,5,5,5,2,5,4,5,5,4,4,5,1,5,5,5,5,3,5,5,5,Snapchat;Instagram;Tiktok;Facebook,2,2,Kvinna,18
5,2025/04/16 8:22:31 PM GMT+2,5,4,2,5,1,4,3,4,5,3,4,3,2,3,4,4,1,1,5,3,2,2,3,4,3,3,2,4,3,5,2,3,2,3,4,2,2,2,5,Snapchat;Instagram;Tiktok;X;pinterest ,5,6,Kvinna,19
6,2025/04/16 9:10:24 PM GMT+2,5,5,5,3,2,5,4,5,3,2,3,2,5,1,5,5,1,1,5,1,2,5,1,5,5,4,5,4,4,5,1,2,1,5,5,3,4,5,3,Snapchat;Instagram,2,4,Kvinna,20
7,2025/04/16 10:52:11 PM GMT+2,2,3,4,2,2,2,4,4,5,3,5,5,1,1,4,5,1,1,5,1,4,4,1,3,3,4,4,4,4,5,2,4,1,1,5,4,1,5,3,Snapchat;Instagram,2,6,Kvinna,21
8,2025/04/17 1:29:18 AM GMT+2,2,3,4,2,4,2,2,4,5,1,1,1,2,1,1,2,1,2,2,4,5,5,2,1,2,4,2,4,4,4,2,1,2,4,2,1,1,1,4,Instagram;Facebook,2,7,Kvinna,24
9,2025/04/17 5:29:45 PM GMT+2,5,2,5,5,3,2,4,4,5,1,1,4,1,3,4,3,1,1,3,3,2,4,3,3,1,2,3,2,3,4,2,1,1,5,2,1,2,2,1,Snapchat;Instagram,3,8,Kvinna,20
